urun_id,isim,marka,kategori,tahmini_indirim,gercek_indirim,hata,dogru_mu
10208036,Loreal Paris Plump Ambition Hyaluron Lip Oil Besleyici ve Nemlendirici Dudak Parlatıcısı 510 La Nuit Sparkle,Loreal,Makyaj,32.72187963601496,45.1,12.37812036398504,False
10208037,Loreal Paris Plump Ambition Hyaluron Lip Oil Besleyici ve Nemlendirici Dudak Parlatıcısı 490 Berry Jolie,Loreal,Makyaj,45.89955343715267,43.43333333333334,2.4662201038193317,True
10208038,Loreal Paris Color Riche Saten Bitişli Ruj 107 Seine Sunset,Loreal,Makyaj,50.06276600884417,50.1,0.037233991155829926,True
10208039,Loreal Paris Color Riche Intense Volume Matte Ruj 520 Nude Defiant,Loreal,Makyaj,51.93390949461442,50.1,1.8339094946144172,True
10208040,Loreal Paris Color Riche Intense Volume Matte Ruj 601 Worth It,Loreal,Makyaj,53.36750119661082,55.05,1.68249880338918,True
10208041,Loreal Paris Infaillible Matte Resistance Likit Mat Ruj 420 Le Rouge Paris,Loreal,Makyaj,50.156779582113685,50.1,0.05677958211368406,True
10208042,Loreal Paris Infaillible Matte Resistance Likit Mat Ruj 635 Worth It (Medium),Loreal,Makyaj,50.06276600884417,50.1,0.037233991155829926,True
10208043,Loreal Paris Infaillible Matte Resistance Likit Mat Ruj 230 Shopping Spree,Loreal,Makyaj,58.39753157671371,60.1,1.702468423286291,True
10208044,Loreal Paris Color Riche Intense Volume Matte Ruj 346 Rouge Determination,Loreal,Makyaj,57.66377961255639,60.1,2.436220387443612,True
10208045,Loreal Paris Color Riche Intense Volume Matte Ruj 640 Nude Independant,Loreal,Makyaj,50.156779582113685,50.1,0.05677958211368406,True
10208046,Loreal Paris Glow Paradise Balm in Lipstick Işıltı Veren Ruj 191 Nude Heaven,Loreal,Makyaj,49.768866011363656,50.1,0.3311339886363456,True
10208047,Loreal Paris Glow Paradise Balm in Lipstick Işıltı Veren Ruj 353 Mulberry Ecstatic,Loreal,Makyaj,50.156779582113685,50.1,0.05677958211368406,True
10208048,Loreal Paris Infaillible Laque Resistance Likit Parlak Ruj 520 Berry Bordeaux,Loreal,Makyaj,49.678520875962,50.1,0.4214791240380009,True
10208050,Loreal Paris Infaillible 2-Step 24 Saat Kalıcı Likit Ruj & Balm 801 Toujours Toffee,Loreal,Makyaj,55.68726808372538,60.1,4.412731916274623,True
10208051,Loreal Paris Infaillible 2-Step 24 Saat Kalıcı Likit Ruj & Balm 312 Incessant Russet,Loreal,Makyaj,21.065199706306903,60.1,39.034800293693095,False
10208052,Loreal Paris Infaillible Matte Resistance Likit Mat Ruj 120 Major Crush,Loreal,Makyaj,49.68014063305195,50.1,0.41985936694805304,True
